ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
34,101,17,7,0,2,1,0,19,8,0,24,3,27
34,102,27,4,0,2,13,0,29,17,0,31,15,46
34,111,164,24,0,45,50,0,209,74,0,188,95,283
34,112,148,21,1,49,58,0,197,79,1,170,107,277
34,113,265,29,0,103,119,0,368,148,0,294,222,516
34,114,795,136,9,245,292,4,1040,428,13,940,541,1481
34,121,138,20,0,26,32,2,164,52,2,158,60,218
34,122,5,2,0,6,5,0,11,7,0,7,11,18
34,123,63,10,0,19,32,0,82,42,0,73,51,124
34,124,8,2,0,4,9,0,12,11,0,10,13,23
34,131,18,3,0,6,1,0,24,4,0,21,7,28
34,132,104,15,0,38,30,1,142,45,1,119,69,188
34,133,3,0,0,2,0,0,5,0,0,3,2,5
34,134,10,7,0,5,7,0,15,14,0,17,12,29
34,141,136,19,0,46,86,1,182,105,1,155,133,288
34,142,289,55,0,145,124,6,434,179,6,344,275,619
34,143,212,37,0,85,59,5,297,96,5,249,149,398
34,151,5,2,0,2,3,0,7,5,0,7,5,12
34,152,8,6,0,2,0,1,10,6,1,14,3,17
34,153,16,4,1,7,6,0,23,10,1,21,13,34
34,163,25,11,2,15,7,0,40,18,2,38,22,60
34,164,0,0,0,0,1,0,0,1,0,0,1,1
34,171,959,186,6,470,688,6,1429,874,12,1151,1164,2315
34,172,321,62,0,68,110,0,389,172,0,383,178,561
34,173,2506,483,4,934,1490,7,3440,1973,11,2993,2431,5424
34,181,9,4,0,3,4,0,12,8,0,13,7,20
34,182,5,2,0,3,3,0,8,5,0,7,6,13
34,191,14,6,0,15,5,0,29,11,0,20,20,40
34,192,9,3,0,2,0,0,11,3,0,12,2,14
34,201,50,4,0,28,18,0,78,22,0,54,46,100
35,1,2113,400,59,389,547,9,2502,947,68,2572,945,3517
35,2,1811,353,28,571,813,8,2382,1166,36,2192,1392,3584
35,3,11383,2450,318,5192,6446,93,16575,8896,411,14151,11731,25882
35,4,11074,2534,387,6384,7607,85,17458,10141,472,13995,14076,28071
35,5,7228,1745,327,3664,3916,123,10892,5661,450,9300,7703,17003
35,6,6226,1414,701,1786,2153,160,8012,3567,861,8341,4099,12440
35,7,4058,998,320,1400,1593,71,5458,2591,391,5376,3064,8440
35,8,3742,880,933,898,1032,184,4640,1912,1117,5555,2114,7669
35,9,1608,471,334,331,398,44,1939,869,378,2413,773,3186
35,10,1362,302,28,366,411,2,1728,713,30,1692,779,2471
35,11,1555,370,247,285,332,24,1840,702,271,2172,641,2813
35,12,1023,189,61,191,238,7,1214,427,68,1273,436,1709
35,15,355,42,3,101,117,2,456,159,5,400,220,620
35,16,169,11,0,45,89,1,214,100,1,180,135,315
35,17,1980,324,14,328,440,0,2308,764,14,2318,768,3086
35,18,3203,567,56,684,885,3,3887,1452,59,3826,1572,5398
35,21,475,96,132,32,46,1,507,142,133,703,79,782
35,22,703,238,113,70,156,17,773,394,130,1054,243,1297
35,23,529,161,58,76,98,8,605,259,66,748,182,930
35,24,390,163,28,58,110,1,448,273,29,581,169,750
35,31,7573,1550,297,2332,3164,198,9905,4714,495,9420,5694,15114
35,32,12768,2603,190,9243,12464,82,22011,15067,272,15561,21789,37350
35,33,3890,781,21,1797,2926,6,5687,3707,27,4692,4729,9421
35,34,14055,3338,606,8080,11548,348,22135,14886,954,17999,19976,37975
35,35,113816,23526,1551,85775,84295,717,199591,107821,2268,138893,170787,309680
35,36,14134,3332,187,10901,15467,59,25035,18799,246,17653,26427,44080
35,41,5678,1304,409,1736,2150,59,7414,3454,468,7391,3945,11336
35,43,1736,425,159,452,512,57,2188,937,216,2320,1021,3341
35,44,1717,339,210,323,437,31,2040,776,241,2266,791,3057
35,45,542,129,61,109,125,3,651,254,64,732,237,969
35,46,293,76,51,52,69,18,345,145,69,420,139,559
35,47,762,207,145,110,155,9,872,362,154,1114,274,1388
35,48,541,157,82,76,119,5,617,276,87,780,200,980
35,49,728,239,44,100,171,4,828,410,48,1011,275,1286
35,51,951,168,9,150,172,1,1101,340,10,1128,323,1451
35,52,2100,381,23,495,667,1,2595,1048,24,2504,1163,3667
35,61,332,54,1,64,91,0,396,145,1,387,155,542
35,62,320,75,4,55,69,1,375,144,5,399,125,524
35,71,702,132,14,105,113,6,807,245,20,848,224,1072
35,72,1380,254,86,226,216,10,1606,470,96,1720,452,2172
35,73,252,58,5,43,74,0,295,132,5,315,117,432
35,74,2372,479,139,410,509,24,2782,988,163,2990,943,3933
35,75,545,117,23,98,120,2,643,237,25,685,220,905
35,76,388,49,13,55,60,5,443,109,18,450,120,570
35,81,391,112,3,65,68,1,456,180,4,506,134,640
35,82,147,43,2,36,60,0,183,103,2,192,96,288
35,83,326,98,2,45,89,1,371,187,3,426,135,561
35,91,128,30,4,20,29,0,148,59,4,162,49,211
35,92,168,53,6,25,32,0,193,85,6,227,57,284
