ZONE,COUNTY,TRIP MODE,QUANTITY
62,,PNR_PRMTRN,5
62,,SCHOOL_BUS,87
62,,SHARED2FREE,1035
62,,SHARED3FREE,718
62,,TNC,52
62,,TOTAL,4943
62,,WALK,188
62,,WALK_ALLTRN,8
63,,BIKE,16
63,,DRIVEALONEFREE,2917
63,,DRIVEALONEPAY,8
63,,KNR_ALLTRN,1
63,,PNR_ALLTRN,2
63,,PNR_PRMTRN,8
63,,SCHOOL_BUS,277
63,,SHARED2FREE,885
63,,SHARED2PAY,2
63,,SHARED3FREE,508
63,,TNC,49
63,,TOTAL,4866
63,,WALK,174
63,,WALK_ALLTRN,19
64,,BIKE,16
64,,DRIVEALONEFREE,1314
64,,DRIVEALONEPAY,2
64,,KNR_ALLTRN,1
64,,KNR_PRMTRN,1
64,,SCHOOL_BUS,3
64,,SHARED2FREE,537
64,,SHARED3FREE,276
64,,SHARED3PAY,1
64,,TNC,23
64,,TOTAL,2260
64,,WALK,75
64,,WALK_ALLTRN,11
65,,BIKE,4
65,,DRIVEALONEFREE,452
65,,DRIVEALONEPAY,1
65,,SHARED2FREE,158
65,,SHARED3FREE,91
65,,TNC,3
65,,TOTAL,741
65,,WALK,26
65,,WALK_ALLTRN,6
66,,BIKE,8
66,,DRIVEALONEFREE,2290
66,,DRIVEALONEPAY,3
66,,KNR_ALLTRN,1
66,,PNR_ALLTRN,2
66,,PNR_PRMTRN,7
66,,SCHOOL_BUS,5
66,,SHARED2FREE,956
66,,SHARED3FREE,586
66,,SHARED3PAY,1
66,,TNC,37
66,,TOTAL,4027
66,,WALK,105
66,,WALK_ALLTRN,26
67,,BIKE,18
67,,DRIVEALONEFREE,2956
67,,DRIVEALONEPAY,4
67,,KNR_ALLTRN,8
67,,PNR_ALLTRN,8
67,,SCHOOL_BUS,2
67,,SHARED2FREE,1279
67,,SHARED3FREE,838
67,,TNC,53
67,,TOTAL,5440
67,,WALK,214
67,,WALK_ALLTRN,60
68,,BIKE,26
68,,DRIVEALONEFREE,4572
68,,DRIVEALONEPAY,12
68,,KNR_ALLTRN,6
68,,PNR_ALLTRN,6
68,,SCHOOL_BUS,26
68,,SHARED2FREE,2080
68,,SHARED3FREE,1182
68,,SHARED3PAY,2
68,,TNC,83
68,,TOTAL,8420
68,,WALK,340
68,,WALK_ALLTRN,85
69,,BIKE,61
69,,DRIVEALONEFREE,10863
69,,DRIVEALONEPAY,20
69,,KNR_ALLTRN,16
69,,PNR_ALLTRN,18
69,,PNR_PRMTRN,2
69,,SCHOOL_BUS,16
69,,SHARED2FREE,4112
69,,SHARED2PAY,1
69,,SHARED3FREE,2425
69,,TNC,210
69,,TOTAL,18450
69,,WALK,519
69,,WALK_ALLTRN,187
70,,BIKE,45
70,,DRIVEALONEFREE,5587
70,,DRIVEALONEPAY,14
70,,KNR_ALLTRN,5
70,,PNR_ALLTRN,3
70,,SCHOOL_BUS,54
70,,SHARED2FREE,1942
70,,SHARED2PAY,1
70,,SHARED3FREE,1277
70,,TNC,114
70,,TOTAL,9425
70,,WALK,360
70,,WALK_ALLTRN,23
71,,BIKE,39
71,,DRIVEALONEFREE,6696
71,,DRIVEALONEPAY,7
71,,KNR_ALLTRN,1
71,,PNR_ALLTRN,3
71,,PNR_PRMTRN,7
71,,SCHOOL_BUS,61
71,,SHARED2FREE,2626
71,,SHARED3FREE,1741
71,,TNC,109
71,,TOTAL,11861
71,,WALK,528
71,,WALK_ALLTRN,43
72,,BIKE,33
72,,DRIVEALONEFREE,5335
72,,DRIVEALONEPAY,7
72,,KNR_ALLTRN,3
72,,PNR_PRMTRN,6
72,,SCHOOL_BUS,12
72,,SHARED2FREE,2514
72,,SHARED2PAY,2
72,,SHARED3FREE,1585
72,,TNC,117
72,,TOTAL,9910
72,,WALK,285
72,,WALK_ALLTRN,11
73,,BIKE,25
73,,DRIVEALONEFREE,2402
73,,DRIVEALONEPAY,2
73,,KNR_ALLTRN,1
73,,PNR_ALLTRN,1
73,,PNR_PRMTRN,10
73,,SCHOOL_BUS,80
73,,SHARED2FREE,1243
73,,SHARED3FREE,688
73,,TNC,41
73,,TOTAL,4638
73,,WALK,137
73,,WALK_ALLTRN,8
74,,BIKE,23
74,,DRIVEALONEFREE,3691
74,,DRIVEALONEPAY,7
74,,KNR_ALLTRN,4
74,,PNR_ALLTRN,1
74,,PNR_PRMTRN,1
74,,SCHOOL_BUS,4
74,,SHARED2FREE,1642
74,,SHARED2PAY,2
74,,SHARED3FREE,1236
74,,TNC,89
74,,TOTAL,6938
74,,WALK,214
74,,WALK_ALLTRN,24
75,,BIKE,42
75,,DRIVEALONEFREE,4058
75,,DRIVEALONEPAY,5
75,,PNR_ALLTRN,1
75,,PNR_PRMTRN,7
75,,SCHOOL_BUS,633
75,,SHARED2FREE,2325
75,,SHARED2PAY,2
75,,SHARED3FREE,1721
75,,TNC,98
75,,TOTAL,9189
75,,WALK,295
75,,WALK_ALLTRN,2
76,,BIKE,23
76,,DRIVEALONEFREE,4115
76,,DRIVEALONEPAY,6
76,,KNR_ALLTRN,1
76,,KNR_PRMTRN,1
76,,PNR_PRMTRN,4
76,,SHARED2FREE,1210
76,,SHARED3FREE,696
76,,TNC,92
76,,TOTAL,6425
76,,WALK,256
76,,WALK_ALLTRN,17
76,,WALK_PRMTRN,4
77,,BIKE,59
77,,DRIVEALONEFREE,6742
77,,DRIVEALONEPAY,7
77,,KNR_ALLTRN,1
77,,PNR_ALLTRN,2
77,,PNR_PRMTRN,5
77,,SCHOOL_BUS,250
77,,SHARED2FREE,2832
77,,SHARED3FREE,1921
77,,TNC,136
77,,TOTAL,12479
77,,WALK,506
